category,date,sales_millions
Electronics and appliance stores,2023-10-01,7301
Clothing and clothing accessories stores,2023-10-01,23143
Furniture and home furnishings stores,2023-10-01,10881
Electronics and appliance stores,2023-10-01,7629
Clothing and clothing accessories stores,2023-10-01,24683
Furniture and home furnishings stores,2023-11-01,11958
Electronics and appliance stores,2023-11-01,8625
Clothing and clothing accessories stores,2023-11-01,27490
Furniture and home furnishings stores,2023-11-01,11052
Electronics and appliance stores,2023-11-01,7365
Clothing and clothing accessories stores,2023-11-01,24838
Furniture and home furnishings stores,2023-12-01,11490
Electronics and appliance stores,2023-12-01,9826
Clothing and clothing accessories stores,2023-12-01,39318
Furniture and home furnishings stores,2023-12-01,10659
Electronics and appliance stores,2023-12-01,7136
Clothing and clothing accessories stores,2023-12-01,25141
